Account,Risk_Score,Risk_Reasons,Smurfing_Flag,Mule_Flag,Known_Laundering_Account,Risk_Level,Suspicious_Flag
8014C7B60,20,High total outgoing amount,False,False,False,Low,False
806DC4EC0,0,,False,False,False,Low,False
806DB8570,0,,False,False,False,Low,False
800B02E20,0,,False,False,False,Low,False
806DB5D90,0,,False,False,False,Low,False
80D2CD1E0,0,,False,False,False,Low,False
806D94BB0,0,,False,False,False,Low,False
806D622A0,0,,False,False,False,Low,False
80D2C9930,0,,False,False,False,Low,False
800AF9AC0,20,High total outgoing amount,False,False,False,Low,False
8037475E0,0,,False,False,False,Low,False
806D735A0,0,,False,False,False,Low,False
806D6E290,0,,False,False,False,Low,False
80D334970,0,,False,False,False,Low,False
8030F1EF0,0,,False,False,False,Low,False
8030F2080,0,,False,False,False,Low,False
800AE8C00,20,High total outgoing amount,False,False,False,Low,False
8030F26B0,0,,False,False,False,Low,False
800B83480,0,,False,False,False,Low,False
800ADEFA0,0,,False,False,False,Low,False
80D2C15F0,0,,False,False,False,Low,False
80D2A6BD0,0,,False,False,False,Low,False
806E21D40,0,,False,False,False,Low,False
80D2221D0,0,,False,False,False,Low,False
80D22F720,20,High total outgoing amount,False,False,False,Low,False
806DCCD10,0,,False,False,False,Low,False
806E45FE0,20,High total outgoing amount,False,False,False,Low,False
800B0F090,20,High total outgoing amount,False,False,False,Low,False
80D231B50,20,High total outgoing amount,False,False,False,Low,False
80D231BF0,0,,False,False,False,Low,False
8000EEC20,0,,False,False,False,Low,False
806E3E870,0,,False,False,False,Low,False
806E3E7D0,0,,False,False,False,Low,False
806E3C590,0,,False,False,False,Low,False
806E327E0,0,,False,False,False,Low,False
8061404B0,20,High total outgoing amount,False,False,False,Low,False
805521A30,20,High total outgoing amount,False,False,False,Low,False
80599C540,0,,False,False,False,Low,False
800AC1450,0,,False,False,False,Low,False
80D21F990,0,,False,False,False,Low,False
806D638F0,0,,False,False,False,Low,False
806D42B50,20,High total outgoing amount,False,False,False,Low,False
80D3765E0,0,,False,False,False,Low,False
806CDBDB0,0,,False,False,False,Low,False
80D36CFC0,0,,False,False,False,Low,False
80D360EF0,0,,False,False,False,Low,False
80D3C96B0,0,,False,False,False,Low,False
803177F60,0,,False,False,False,Low,False
10042B660,80,High transaction frequency; High total outgoing amount; Money sent to many different accounts; Multiple large transactions detected,True,False,True,High,True
80D3FF7B0,0,,False,False,False,Low,False
80D3FFC30,20,High total outgoing amount,False,False,False,Low,False
8031885F0,20,High total outgoing amount,False,False,False,Low,False
80D4041D0,0,,False,False,False,Low,False
806CC8A70,0,,False,False,False,Low,False
80D4039D0,0,,False,False,False,Low,False
80D407C60,0,,False,False,False,Low,False
80D409080,0,,False,False,False,Low,False
806CA03F0,0,,False,False,False,Low,False
806C83C90,0,,False,False,False,Low,False
80D3748D0,0,,False,False,False,Low,False
80D340B80,0,,False,False,False,Low,False
806CDA5A0,0,,False,False,False,Low,False
800AC6240,0,,False,False,False,Low,False
806D42660,0,,False,False,False,Low,False
806D32160,0,,False,False,False,Low,False
806D04FC0,0,,False,False,False,Low,False
806D03A40,20,High total outgoing amount,False,False,False,Low,False
800611CE0,20,High total outgoing amount,False,False,False,Low,False
80311E1E0,0,,False,False,False,Low,False
806CE2620,0,,False,False,False,Low,False
80D34C210,0,,False,False,False,Low,False
800ACB4A0,0,,False,False,False,Low,False
80D349DB0,0,,False,False,False,Low,False
80D34B3C0,0,,False,False,False,Low,False
80D361630,0,,False,False,False,Low,False
8030FE7B0,0,,False,False,False,Low,False
80D368B80,20,High total outgoing amount,False,False,False,Low,False
8015A2C30,20,High total outgoing amount,False,False,False,Low,False
806CDDAD0,0,,False,False,False,Low,False
80D367D80,0,,False,False,False,Low,False
80BCC4C00,20,High total outgoing amount,False,False,False,Low,False
806C5C080,0,,False,False,False,Low,False
806E46C30,0,,False,False,False,Low,False
80D2053B0,0,,False,False,False,Low,False
800B716C0,0,,False,False,False,Low,False
802FF73C0,0,,False,False,False,Low,False
80D04E870,0,,False,False,False,Low,False
80D0547B0,0,,False,False,False,Low,False
807017410,0,,False,False,False,Low,False
807052E80,0,,False,False,False,Low,False
8070540E0,0,,False,False,False,Low,False
800B64150,20,High total outgoing amount,False,False,False,Low,False
80D01C2F0,0,,False,False,False,Low,False
80D021310,0,,False,False,False,Low,False
80704DB80,0,,False,False,False,Low,False
80704CA90,0,,False,False,False,Low,False
800A91760,0,,False,False,False,Low,False
80D0161C0,0,,False,False,False,Low,False
807F30160,0,,False,False,False,Low,False
80D074190,0,,False,False,False,Low,False
80D0AB640,0,,False,False,False,Low,False
80D0419E0,0,,False,False,False,Low,False
800B2F960,0,,False,False,False,Low,False
80D034DE0,0,,False,False,False,Low,False
802FEA020,20,High total outgoing amount,False,False,False,Low,False
80CF0A600,0,,False,False,False,Low,False
80CF0C150,0,,False,False,False,Low,False
8070EA8E0,0,,False,False,False,Low,False
803293E70,0,,False,False,False,Low,False
8070D0690,0,,False,False,False,Low,False
80CF3C3E0,0,,False,False,False,Low,False
8070C8F10,0,,False,False,False,Low,False
8070E8FA0,0,,False,False,False,Low,False
800BA1D20,20,High total outgoing amount,False,False,False,Low,False
8070DF5E0,0,,False,False,False,Low,False
800B9FF00,0,,False,False,False,Low,False
80CFBFF70,20,High total outgoing amount,False,False,False,Low,False
8070D4180,0,,False,False,False,Low,False
80D01BD80,0,,False,False,False,Low,False
80D01D340,0,,False,False,False,Low,False
80D01F260,0,,False,False,False,Low,False
80D026E80,0,,False,False,False,Low,False
80D035770,0,,False,False,False,Low,False
800B19260,0,,False,False,False,Low,False
8030193F0,20,High total outgoing amount,False,False,False,Low,False
80301F070,0,,False,False,False,Low,False
800B312A0,0,,False,False,False,Low,False
806EC6DB0,0,,False,False,False,Low,False
800B2CA50,20,High total outgoing amount,False,False,False,Low,False
8087A24F0,20,High total outgoing amount,False,False,False,Low,False
80690A040,0,,False,False,False,Low,False
80D1AAB40,20,High total outgoing amount,False,False,False,Low,False
80D1A6720,0,,False,False,False,Low,False
806E821D0,0,,False,False,False,Low,False
8030B49C0,0,,False,False,False,Low,False
800B260A0,0,,False,False,False,Low,False
806E74B10,0,,False,False,False,Low,False
806E73EC0,0,,False,False,False,Low,False
806E69C50,20,High total outgoing amount,False,False,False,Low,False
80D1B9770,0,,False,False,False,Low,False
806E5EC30,20,High total outgoing amount,False,False,False,Low,False
80D1EFC80,0,,False,False,False,Low,False
80D12C8D0,0,,False,False,False,Low,False
8002BF660,0,,False,False,False,Low,False
80055C090,20,High total outgoing amount,False,False,False,Low,False
80D12B860,0,,False,False,False,Low,False
800A9F3D0,0,,False,False,False,Low,False
807028790,0,,False,False,False,Low,False
807023D70,0,,False,False,False,Low,False
803022D60,0,,False,False,False,Low,False
800B53320,0,,False,False,False,Low,False
800B50E60,0,,False,False,False,Low,False
80D0E2F40,0,,False,False,False,Low,False
8030269A0,0,,False,False,False,Low,False
80D0E5280,0,,False,False,False,Low,False
800B49BA0,0,,False,False,False,Low,False
8003E4ED0,0,,False,False,False,Low,False
806FB2F20,20,High total outgoing amount,False,False,False,Low,False
80D11F900,0,,False,False,False,Low,False
80D125130,20,High total outgoing amount,False,False,False,Low,False
806F9C370,0,,False,False,False,Low,False
806F56310,0,,False,False,False,Low,False
80D440170,20,High total outgoing amount,False,False,False,Low,False
80D44A870,20,High total outgoing amount,False,False,False,Low,False
806C3B030,0,,False,False,False,Low,False
80D7B5080,0,,False,False,False,Low,False
80D7E7AD0,20,High total outgoing amount,False,False,False,Low,False
80D7EBCC0,0,,False,False,False,Low,False
80D81A890,0,,False,False,False,Low,False
80D81D000,0,,False,False,False,Low,False
8032C5220,0,,False,False,False,Low,False
80044C8A0,0,,False,False,False,Low,False
80D83EBD0,0,,False,False,False,Low,False
800998C80,0,,False,False,False,Low,False
8069E36C0,0,,False,False,False,Low,False
8069E34F0,0,,False,False,False,Low,False
8069CE3B0,0,,False,False,False,Low,False
80D853870,0,,False,False,False,Low,False
80D85E760,0,,False,False,False,Low,False
80D866D30,0,,False,False,False,Low,False
8009A5550,0,,False,False,False,Low,False
8009AC2D0,20,High total outgoing amount,False,False,False,Low,False
8009A1500,0,,False,False,False,Low,False
80329D320,0,,False,False,False,Low,False
8009EBCB0,0,,False,False,False,Low,False
806AAA180,20,High total outgoing amount,False,False,False,Low,False
806AA8D70,20,High total outgoing amount,False,False,False,Low,False
805C31320,0,,False,False,False,Low,False
80D727D10,0,,False,False,False,Low,False
8004F7580,20,High total outgoing amount,False,False,False,Low,False
80D71BA00,0,,False,False,False,Low,False
8019A5490,0,,False,False,False,Low,False
80D73A2C0,0,,False,False,False,Low,False
80D74AF50,20,High total outgoing amount,False,False,False,Low,False
800573990,0,,False,False,False,Low,False
805AFA8D0,0,,False,False,False,Low,False
8007DB650,0,,False,False,False,Low,False
80D45F610,20,High total outgoing amount,False,False,False,Low,False
80D759C90,0,,False,False,False,Low,False
80D759F10,0,,False,False,False,Low,False
806A196D0,20,High total outgoing amount,False,False,False,Low,False
806A191A0,20,High total outgoing amount,False,False,False,Low,False
8069E1300,0,,False,False,False,Low,False
80D712F90,20,High total outgoing amount,False,False,False,Low,False
80514F730,20,High total outgoing amount,False,False,False,Low,False
8015F9C90,20,High total outgoing amount,False,False,False,Low,False
8068E6AA0,0,,False,False,False,Low,False
8068DC610,0,,False,False,False,Low,False
80D934880,0,,False,False,False,Low,False
80333B0A0,20,High total outgoing amount,False,False,False,Low,False
8068CB980,0,,False,False,False,Low,False
80092FAA0,0,,False,False,False,Low,False
8068C2330,0,,False,False,False,Low,False
806888180,0,,False,False,False,Low,False
80687FE80,0,,False,False,False,Low,False
803357090,0,,False,False,False,Low,False
8009850A0,20,High total outgoing amount,False,False,False,Low,False
80D99B6C0,0,,False,False,False,Low,False
80097BE20,0,,False,False,False,Low,False
806774A60,0,,False,False,False,Low,False
800979970,0,,False,False,False,Low,False
802D326D0,20,High total outgoing amount,False,False,False,Low,False
80333D100,0,,False,False,False,Low,False
80690F330,0,,False,False,False,Low,False
80D8E8960,20,High total outgoing amount,False,False,False,Low,False
80D8A5D30,0,,False,False,False,Low,False
80D8A8CD0,0,,False,False,False,Low,False
80D8AAF20,0,,False,False,False,Low,False
8068BF650,0,,False,False,False,Low,False
80D8B29A0,20,High total outgoing amount,False,False,False,Low,False
80D8B5080,0,,False,False,False,Low,False
8033154E0,0,,False,False,False,Low,False
8005380A0,0,,False,False,False,Low,False
806915CA0,0,,False,False,False,Low,False
80D8CBFC0,20,High total outgoing amount,False,False,False,Low,False
80690C130,0,,False,False,False,Low,False
80D8D4C90,0,,False,False,False,Low,False
806906380,20,High total outgoing amount,False,False,False,Low,False
80D8D7240,0,,False,False,False,Low,False
8068E7460,0,,False,False,False,Low,False
8068FCE40,0,,False,False,False,Low,False
8009A61B0,0,,False,False,False,Low,False
8068F5FF0,0,,False,False,False,Low,False
8068EB610,20,High total outgoing amount,False,False,False,Low,False
80D70CAE0,0,,False,False,False,Low,False
806AB5E60,20,High total outgoing amount,False,False,False,Low,False
800A0B5A0,20,High total outgoing amount,False,False,False,Low,False
800A786D0,0,,False,False,False,Low,False
80D4E6540,0,,False,False,False,Low,False
8015C2D00,0,,False,False,False,Low,False
80D4F4FC0,0,,False,False,False,Low,False
80D5067F0,0,,False,False,False,Low,False
80D502C30,20,High total outgoing amount,False,False,False,Low,False
80D506F10,0,,False,False,False,Low,False
80D534E80,0,,False,False,False,Low,False
80614F0D0,20,High total outgoing amount,False,False,False,Low,False
800A75C90,0,,False,False,False,Low,False
800A5E4F0,20,High total outgoing amount,False,False,False,Low,False
8031D6970,20,High total outgoing amount,False,False,False,Low,False
80D5AE0C0,0,,False,False,False,Low,False
8006195F0,20,High total outgoing amount,False,False,False,Low,False
8031B6260,20,High total outgoing amount,False,False,False,Low,False
80D5C3200,0,,False,False,False,Low,False
80D493BD0,0,,False,False,False,Low,False
80D5E78B0,20,High total outgoing amount,False,False,False,Low,False
80D466160,0,,False,False,False,Low,False
806BC6A40,0,,False,False,False,Low,False
800AAB8C0,0,,False,False,False,Low,False
80319F350,0,,False,False,False,Low,False
806C3B410,0,,False,False,False,Low,False
8001EF1C0,20,High total outgoing amount,False,False,False,Low,False
8031A5400,0,,False,False,False,Low,False
80072F1C0,20,High total outgoing amount,False,False,False,Low,False
806BD93F0,0,,False,False,False,Low,False
800A9EC60,0,,False,False,False,Low,False
8031A8950,0,,False,False,False,Low,False
806BDC790,0,,False,False,False,Low,False
806BDCFF0,20,High total outgoing amount,False,False,False,Low,False
800A94DC0,0,,False,False,False,Low,False
80D480500,0,,False,False,False,Low,False
806BC7010,0,,False,False,False,Low,False
8026732E0,0,,False,False,False,Low,False
800E649F0,0,,False,False,False,Low,False
8031BFAE0,0,,False,False,False,Low,False
80D6156A0,0,,False,False,False,Low,False
80D613870,0,,False,False,False,Low,False
806AEFC70,20,High total outgoing amount,False,False,False,Low,False
80D6EB710,0,,False,False,False,Low,False
806AE7FC0,0,,False,False,False,Low,False
80D6EA170,0,,False,False,False,Low,False
806AE5DB0,0,,False,False,False,Low,False
80D6EC8E0,0,,False,False,False,Low,False
80178CBF0,20,High total outgoing amount,False,False,False,Low,False
80D6D4D30,0,,False,False,False,Low,False
80D6FAA20,0,,False,False,False,Low,False
800A17480,20,High total outgoing amount,False,False,False,Low,False
800B9D410,0,,False,False,False,Low,False
802AB1650,0,,False,False,False,Low,False
80D6FFAC0,0,,False,False,False,Low,False
80D705890,0,,False,False,False,Low,False
806AC6820,20,High total outgoing amount,False,False,False,Low,False
803EF3B90,20,High total outgoing amount,False,False,False,Low,False
800A0CC90,0,,False,False,False,Low,False
806AF2330,0,,False,False,False,Low,False
8031FB8F0,0,,False,False,False,Low,False
80D6C9AB0,20,High total outgoing amount,False,False,False,Low,False
8008F8030,0,,False,False,False,Low,False
8031C2D10,0,,False,False,False,Low,False
804D3E260,0,,False,False,False,Low,False
806B62B80,0,,False,False,False,Low,False
80D62E020,0,,False,False,False,Low,False
806B62500,20,High total outgoing amount,False,False,False,Low,False
806AC65E0,20,High total outgoing amount,False,False,False,Low,False
806B4FBD0,0,,False,False,False,Low,False
80D63BFE0,0,,False,False,False,Low,False
80710C250,0,,False,False,False,Low,False
8031E4640,0,,False,False,False,Low,False
8031EB670,20,High total outgoing amount,False,False,False,Low,False
800A145C0,0,,False,False,False,Low,False
806B48920,20,High total outgoing amount,False,False,False,Low,False
800F54FE0,0,,False,False,False,Low,False
806B2EE80,0,,False,False,False,Low,False
803AD3EC0,20,High total outgoing amount,False,False,False,Low,False
80D6BD5D0,0,,False,False,False,Low,False
80D6C58A0,0,,False,False,False,Low,False
803005180,20,High total outgoing amount,False,False,False,Low,False
800BBF8B0,20,High total outgoing amount,False,False,False,Low,False
800584710,20,High total outgoing amount,False,False,False,Low,False
80CE7A250,0,,False,False,False,Low,False
80CC37530,0,,False,False,False,Low,False
80CC37890,0,,False,False,False,Low,False
80CC5E5B0,0,,False,False,False,Low,False
80749BFE0,0,,False,False,False,Low,False
80CC6DD50,0,,False,False,False,Low,False
80CC6F110,0,,False,False,False,Low,False
8074A6920,0,,False,False,False,Low,False
80CC7F4C0,0,,False,False,False,Low,False
8003AB800,0,,False,False,False,Low,False
80CC99750,0,,False,False,False,Low,False
