Account,Degree,In_Degree,Out_Degree,Degree_Centrality
8014C7B60,1,0,1,0.00016605778811026238
8017559F0,1,1,0,0.00016605778811026238
806DC4EC0,2,1,1,0.00033211557622052476
806DB8570,2,1,1,0.00033211557622052476
800B02E20,2,1,1,0.00033211557622052476
806DB5D90,2,1,1,0.00033211557622052476
80D2CD1E0,2,1,1,0.00033211557622052476
806D94BB0,1,0,1,0.00016605778811026238
80DBFE0D0,1,1,0,0.00016605778811026238
806D622A0,2,1,1,0.00033211557622052476
80D2C9930,2,1,1,0.00033211557622052476
800AF9AC0,2,1,1,0.00033211557622052476
8037475E0,2,1,1,0.00033211557622052476
806D735A0,2,1,1,0.00033211557622052476
806D6E290,2,1,1,0.00033211557622052476
80D334970,2,1,1,0.00033211557622052476
8030F1EF0,2,1,1,0.00033211557622052476
8030F2080,2,1,1,0.00033211557622052476
800AE8C00,2,1,1,0.00033211557622052476
8030F26B0,2,1,1,0.00033211557622052476
800B83480,2,0,2,0.00033211557622052476
8030F42E0,1,1,0,0.00016605778811026238
800ADEFA0,2,1,1,0.00033211557622052476
80D2C15F0,2,1,1,0.00033211557622052476
80D2A6BD0,2,1,1,0.00033211557622052476
806E21D40,1,0,1,0.00016605778811026238
806E46460,1,1,0,0.00016605778811026238
80D2221D0,2,1,1,0.00033211557622052476
80D22F720,2,1,1,0.00033211557622052476
806DCCD10,2,1,1,0.00033211557622052476
806E45FE0,2,1,1,0.00033211557622052476
800B0F090,2,1,1,0.00033211557622052476
80D231B50,2,1,1,0.00033211557622052476
80D231BF0,3,1,2,0.0004981733643307871
8003C5E50,1,1,0,0.00016605778811026238
8000EEC20,1,0,1,0.00016605778811026238
806E33C00,1,1,0,0.00016605778811026238
806E3E870,1,0,1,0.00016605778811026238
806E42010,1,1,0,0.00016605778811026238
806E3E7D0,2,1,1,0.00033211557622052476
806E3C590,1,0,1,0.00016605778811026238
806E3D880,1,1,0,0.00016605778811026238
806E327E0,2,1,1,0.00033211557622052476
8061404B0,2,1,1,0.00033211557622052476
805521A30,1,0,1,0.00016605778811026238
806E27E50,1,1,0,0.00016605778811026238
80599C540,1,0,1,0.00016605778811026238
806DCF6D0,1,1,0,0.00016605778811026238
800AC1450,2,1,1,0.00033211557622052476
80D21F990,2,1,1,0.00033211557622052476
806D638F0,2,1,1,0.00033211557622052476
806D42B50,2,1,1,0.00033211557622052476
80D3765E0,2,1,1,0.00033211557622052476
806CDBDB0,2,1,1,0.00033211557622052476
80D36CFC0,2,1,1,0.00033211557622052476
80D360EF0,2,1,1,0.00033211557622052476
80D3C96B0,2,1,1,0.00033211557622052476
803177F60,2,1,1,0.00033211557622052476
10042B660,77,0,77,0.012786449684490202
80D3DFF10,1,1,0,0.00016605778811026238
80D3FF7B0,2,1,1,0.00033211557622052476
